;index;recovered_yhat;recovered_yhat_lower;recovered_yhat_upper;ds;deaths_yhat;deaths_yhat_lower;deaths_yhat_upper;confirmed_yhat;confirmed_yhat_lower;confirmed_yhat_upper;confirmed;deaths;recovered
61;61;106353.3161159303;96498.70460356426;115691.39040783978;2020-03-23;16863.40487361014;14540.065860013134;18961.722246538895;423608.3412863967;378306.0321270566;470490.4256684879;377339.0;16491.0;97848.0
62;62;112995.14793476551;103364.84413506738;121902.28047659833;2020-03-24;19580.587916034805;17204.141644950403;21729.272235696153;465418.5709368405;420147.5165655704;511741.97684785153;417329.0;18614.0;107327.0
63;63;123236.35028954831;114658.2620429868;132537.44224769835;2020-03-25;23243.429450092837;20820.485905113863;25392.23016645677;523712.0951202939;474337.23220454034;570093.7354549231;466941.0;21170.0;112839.0
64;64;133279.4045263571;124495.05252775927;142378.74719140556;2020-03-26;26989.069905260472;24798.342237831053;29251.554894873632;583960.0564315744;538262.9435212133;632666.9856834959;528879.0;23959.0;120872.0
65;65;143291.77278040562;134261.5807419916;153210.84810419148;2020-03-27;30807.427124782513;28358.49744738006;33150.76753150715;641062.0639217278;591976.4547795681;687252.282574724;592579.0;27187.0;129449.0
66;66;153811.95899635917;145568.63804541007;162629.85154926864;2020-03-28;33898.602487604825;31609.795266394856;36190.92813470792;671616.6157404124;624816.814676222;715021.7071059362;659992.0;30641.0;137746.0
67;67;164771.24983836;155227.643741163;174259.72961132214;2020-03-29;38140.90254420233;35888.80108862514;40297.52136222322;755354.7885018575;708692.065655316;802126.1511186364;719403.0;33914.0;145814.0
68;68;174488.54090154835;165127.02482934314;184491.9372626149;2020-03-30;41722.384514809964;39472.4246381781;44090.29206694153;811942.7751082855;764722.6170077799;861448.1919236508;781651.0;37571.0;158319.0
69;69;181130.37272038916;171973.73691444914;190604.7998778036;2020-03-31;44439.567557236514;42100.75389090663;46742.79012220634;853753.0047587679;811493.3445968494;904111.8170479104;856773.0;42096.0;170407.0
70;70;191371.57507516694;181508.9527919187;200655.27075673625;2020-04-01;48102.40909129199;45861.17594525291;50413.76874471232;912046.5289421543;866144.9371539974;957835.5802885944;931874.0;46795.0;184100.0
71;71;201414.62931197372;192811.23155759746;210457.8405461917;2020-04-02;51848.049546459515;49547.259039423254;53979.631688432404;972294.4902534403;926230.0622930393;1019961.4808242337;1012436.0;52969.0;200643.0
72;72;211426.99756602623;202789.90061643877;221383.66751859486;2020-04-03;55666.406765981184;53566.93459702285;57960.934449991546;1029396.4977435461;981325.1080262586;1079131.3991936957;1095192.0;58773.0;215470.0
73;73;221947.1837819728;213124.52764314046;231250.46996322423;2020-04-04;58757.582128803006;56379.57226309497;61021.255928469545;1059951.049562245;1016340.5372483616;1107210.5988778719;887834.0;56185.0;230881.0
74;74;232906.4746239771;223500.8016919377;241785.07044478774;2020-04-05;62999.882185400136;60604.02520220006;65344.9386815804;1143689.2223236507;1099892.413772696;1189958.3669158907;1271386.0;69360.0;259393.0
75;75;242623.76568716424;233290.81391743437;250919.68574831175;2020-04-06;66581.36415600733;64254.2377776007;68841.13115884326;1200277.2089300859;1157018.846049828;1245547.7156954475;1344319.0;74551.0;275896.0
76;76;249265.59750600634;239810.79485466922;258780.26012866033;2020-04-07;69298.54719843445;67038.44204043937;71552.40916473263;1242087.4385805863;1194727.8614432318;1288424.702276511;;;
77;77;259506.7998607855;250096.32678329872;269241.2180176094;2020-04-08;72961.38873249112;70760.78205152064;75356.43083568943;1300380.9627640136;1253638.5349550648;1346721.7780015313;;;
78;78;269549.854097593;260576.84286865836;278460.29185314156;2020-04-09;76707.02918765842;74191.82151557825;79071.82286831584;1360628.924075277;1314759.9830529075;1406623.906815515;;;
79;79;279562.22235164075;270639.62225568376;289129.4442448559;2020-04-10;80525.3864071791;78012.42337583157;82863.39046199417;1417730.9315653828;1373331.4370905908;1463404.656668027;;;
80;80;290082.40856759;280330.278702574;299438.52250903356;2020-04-11;83616.56177000115;81252.88015366954;86121.79729654339;1448285.4833840772;1401942.1008950241;1493921.5336280682;;;
81;81;301041.69940959336;290889.3144010039;310618.427695142;2020-04-12;87858.86182659774;85320.43676489583;90291.15374711662;1532023.656145468;1485305.2011141751;1581565.7515972797;;;
82;82;310758.9904727801;301280.2212247208;320323.7494861351;2020-04-13;91440.34379720467;88785.01999688943;94125.06773719884;1588611.6427518858;1532142.925065882;1637701.8246291794;;;
83;83;317400.8222916234;306964.34982590366;327439.63410768757;2020-04-14;94157.5268396324;91349.2186789766;96844.3668506007;1630421.8724024044;1577345.1659719932;1680837.7895112915;;;
84;84;327642.0246464043;316732.5129598811;338104.64288681746;2020-04-15;97820.36837369025;94701.57840330781;101030.27802358131;1688715.3965858743;1631866.3699230275;1745860.1137655599;;;
85;85;337685.0788832104;325860.8507114865;348950.63651148963;2020-04-16;101566.00882885593;98135.81125802096;104758.29072357212;1748963.3578970958;1689915.4378233692;1807588.7565052286;;;
